(74,7),
(63,45),(93,84),(72,93),(77,25),(97,85),(117,15),
(28,46),(77,89),(111,7),(21,112),(59,34),(18,104),
(57,92),(3,19),(90,16),(103,18),(88,15),(131,109),
(103,31),(84,83),(114,19),(78,29),(36,52),(110,126),
(7,44),(121,26),(65,57),(121,98),(9,120),(50,130),
(84,100),(67,114),(45,14),(15,88),(128,21),(65,68),
(132,20),(113,73),(3,113),(71,8),(31,95),(66,72),
(115,84),(47,2),(73,85),(52,57),(41,63),
(70,66),(77,17),(10,120),(67,132),(48,7),(97,72),
(19,102),(124,21),(96,121),(30,106),(95,6),(54,77),
(119,70),(27,52),(48,51),(115,11),(80,121),(46,83),
(60,132),(3,62),(120,117),(112,126),(99,50),(83,58),
(109,69),(121,76),(110,71),(48,124),(26,63),(123,95),
(121,92),(49,22),(116,79),(37,26),(46,113),(126,11),
(3,33),(20,126),(34,1),(2,69),(15,104),(93,96),
(61,120),(8,117),(50,90),(66,48),(79,128),(78,9),
(17,118),(130,19),(12,1),(120,74),(97,35),(54,124),
(83,25),(16,74),(57,48),(98,68),(19,58),(129,125),
(103,19),(88,9),(23,62),(7,53),(121,13),(47,82),
(16,97),(3,66),(68,53),(112,17),(103,82),(126,59),
(83,117),(10,2),(73,76),(18,74),(55,121),(125,50),
(1,102),(1,27),(16,112),(94,68),(6,52),(30,102),
(128,47),(128,112),(110,99),(131,78),(101,98),(51,30),
(62,63),(19,104),(18,74),(102,57),(128,2),(36,33),
(89,32),(60,41),(24,96),(117,99),(101,59),(67,106),
(67,3),(7,40),(105,19),(129,24),(36,121),(20,103),
(42,113),(99,71),(28,86),(52,127),(90,68),(10,117),
(2,29),(7,69),(57,110),(120,109),(71,103),(113,54),
(6,91),(49,95),(64,118),(124,39),(103,17),(31,85),
(43,21),(90,99),(70,97),(83,67),(116,132),(10,9),
(5,12),(35,67),(18,132),(53,117),(56,110),(60,82),
(91,115),(121,120),(94,116),(104,65),(19,83),(7,31),
(52,50),(29,100),(82,48),(20,45),(109,58),(104,97),
(108,35),
