'2015-01-04 06:59:14'
'2016-06-07 01:06:27'
'2010-07-17 10:08:08'
'2011-04-02 12:04:23'
'2002-08-01 08:07:16'
'2010-06-14 10:44:12'
'2005-08-06 03:56:56'
'2008-12-10 01:02:38'
'2015-01-07 12:22:53'
'2001-10-17 07:37:42'
'2017-07-18 03:56:05'
'2019-09-05 04:44:24'
'2001-04-06 07:22:37'
'2012-04-27 09:16:01'
'1998-08-03 07:01:52'
'2015-06-27 02:03:26'
'2008-01-22 06:07:07'
'2009-12-08 01:34:03'
'2013-08-30 04:56:03'
'2012-09-30 09:59:52'
'2018-01-11 05:18:43'
'2012-05-26 09:51:10'
'2012-07-13 12:06:04'
'2014-04-04 05:02:05'
'1998-03-13 02:26:57'
'2010-02-11 11:17:30'
'1997-12-31 01:41:00'
'2008-09-10 03:44:36'
'2001-11-04 11:31:48'
'2001-07-13 08:30:55'
'1995-03-30 01:06:41'
'2016-07-25 11:23:56'
'2014-05-01 01:11:17'
'2005-09-16 07:37:20'
'2013-11-20 01:23:10'
'2000-12-12 09:05:01'
'2000-08-02 06:27:07'
'2011-06-06 08:01:12'
'2003-09-15 06:31:08'
'2019-06-22 05:57:19'
'1998-04-01 04:13:15'
'2014-03-15 08:08:01'
'1996-03-18 01:35:42'
'1998-04-26 12:12:54'
'2001-03-18 08:38:22'
'2001-12-27 09:10:05'
'2005-08-10 06:14:03'
'2000-05-30 04:17:49'
'2009-11-17 09:10:22'
'1996-06-27 06:27:10'
'1997-02-22 03:52:04'
'2016-03-07 09:41:59'
'2014-10-24 05:56:27'
'2003-10-03 08:19:52'
'2013-05-25 03:46:48'
'2003-03-23 08:24:43'
'2001-07-27 12:31:20'
'2012-03-22 09:44:30'
'2003-08-06 04:19:01'
'2010-09-28 04:59:16'
'2002-07-28 02:55:02'
'1998-02-07 11:03:16'
'1998-03-02 07:53:14'
'2001-06-26 04:56:32'
'2017-01-10 05:08:41'
'1996-11-16 10:27:27'
'2008-09-17 08:08:06'
'2005-03-20 06:40:12'
'1995-05-15 04:23:00'
'1997-12-06 10:52:48'
'2008-02-20 02:52:54'
'2002-04-27 07:36:37'
'2008-04-14 06:04:17'
'2016-12-22 02:50:24'
'2016-05-15 04:25:09'
'2001-05-17 03:10:25'
'2000-04-28 03:44:27'
'2013-02-01 06:09:41'
'2013-06-20 06:53:37'
'2005-10-04 12:48:54'
'2004-09-04 07:51:49'
'1997-02-17 09:11:42'
'2016-08-31 05:01:00'
'1996-02-17 12:35:42'
'2000-06-24 04:28:58'
'2014-07-03 07:16:25'
'2002-01-21 05:14:55'
'2000-10-15 04:02:57'
'2018-08-15 09:03:13'
'2013-04-11 06:15:36'
'1996-12-26 04:53:50'
'2006-01-12 12:51:55'
'2011-12-06 07:06:25'
'2008-10-08 07:23:38'
'2016-11-15 04:07:22'
'1997-05-02 08:58:35'
'1998-12-23 12:16:50'
'2002-01-07 08:19:39'
'2019-02-09 11:43:13'
'2008-11-11 02:19:11'
'2000-01-03 07:36:20'
'2005-08-07 01:48:11'
'2011-09-23 01:36:50'
'1996-08-23 10:59:46'
'2015-07-14 08:52:18'
'2013-11-27 10:54:37'
'2016-10-08 12:57:40'
'1996-09-28 11:28:27'
'2012-01-21 05:46:42'
'2008-06-07 10:24:01'
'2004-12-13 02:03:27'
'2012-06-15 08:42:06'
'2005-01-20 04:52:00'
'2007-06-16 11:35:54'
'1996-01-25 11:54:52'
'2011-04-01 02:28:47'
'2001-12-10 09:08:58'
'2003-12-30 08:08:22'
'1996-10-09 05:21:20'
'1997-12-27 02:27:57'
'2011-06-20 09:46:51'
'2010-07-04 05:51:13'
'2010-03-05 05:13:12'
'2000-06-02 01:59:29'
'2010-09-03 06:30:40'
'1999-07-27 11:55:30'
'2016-07-31 01:23:45'
'2011-05-27 10:09:29'
'2019-12-25 05:07:22'
'1996-05-26 08:23:50'
'1999-09-18 07:41:00'
'2012-07-13 11:26:40'
'2017-05-27 01:54:44'
'1996-12-10 03:14:23'
'1999-01-31 02:45:08'
'2009-12-08 03:45:25'
'2017-07-14 12:36:47'
'2004-12-10 10:39:00'
'2006-06-15 09:28:38'
'2000-10-19 07:59:23'
'2009-07-27 10:46:22'
'2012-01-04 07:03:35'
'2007-12-25 06:49:09'
'2013-05-29 02:10:57'
'2015-08-02 01:40:04'
'2001-04-07 02:03:35'
'2016-10-15 05:32:47'
'2013-11-21 09:04:21'
'2002-01-26 02:41:38'
'1997-06-07 09:26:42'
'2006-08-11 10:01:49'
'2010-09-28 05:07:36'
'2009-05-23 04:39:34'
'2017-07-04 12:56:03'
'2010-11-30 07:30:24'
'2009-05-10 05:17:24'
'2004-06-26 10:22:23'
'2007-01-23 05:09:50'
'2010-11-26 03:55:06'
'2002-10-18 04:33:27'
'1998-11-10 11:10:05'
'2005-07-21 06:51:47'
'1998-08-07 12:57:31'
'2009-12-29 01:06:17'
'2005-01-01 12:02:40'
'2017-04-08 10:59:24'
'1999-09-23 12:13:48'
'1996-10-08 09:53:06'
'2019-04-09 10:46:50'
'2000-07-28 02:39:13'
'1996-09-03 03:00:59'
'1999-05-30 08:53:20'
'2011-05-05 01:49:34'
'2014-08-18 10:45:18'
'2017-07-26 05:17:26'
'2007-05-23 10:40:07'
'2010-12-03 02:25:52'
'1998-08-21 09:18:55'
'2003-06-30 05:34:32'
'2012-01-15 03:28:27'
'2017-05-14 07:15:22'
'2018-02-10 07:06:48'
'2013-08-03 10:04:41'
'1999-01-22 10:39:00'
'2016-08-24 06:56:01'
'2008-12-04 06:27:22'
'2008-05-10 03:07:51'
'1996-02-09 01:55:41'
'2009-10-07 09:17:30'
'2004-03-07 04:08:03'
'1997-09-07 03:34:54'
'2019-08-13 09:24:32'
'2019-08-11 09:25:08'
'2004-08-17 07:10:11'
'2016-03-21 02:06:48'
'2006-10-06 09:43:48'
'2002-01-11 06:20:52'
'2004-08-05 05:48:44'
'1996-11-24 10:55:15'
'2002-01-31 03:03:58'
'2009-05-12 04:44:25'
'2012-11-30 01:37:45'
'2000-08-27 02:03:21'
'2004-03-31 04:51:39'
'1997-07-01 10:27:01'
'2014-09-10 03:07:02'
'2013-10-03 09:48:37'
'2009-06-03 06:54:57'
'1997-11-28 11:21:43'
'2011-02-06 08:41:44'
'1996-11-13 08:36:55'
'2005-02-28 11:09:00'
'1998-01-19 03:56:21'
'2019-03-26 02:57:40'
'2003-09-04 07:34:54'
'1996-10-30 04:22:37'
'2007-06-05 03:25:24'
'2018-09-23 12:31:11'
'2015-05-30 10:17:14'
'2018-04-21 02:57:08'
'1999-02-20 05:20:47'
'2005-07-04 09:57:45'
'2006-06-27 10:00:50'
'2012-07-24 05:05:37'
'2017-07-27 12:43:09'
'2010-03-31 09:05:32'
'2009-12-24 02:17:54'
'2010-05-18 01:29:41'
'1998-09-08 09:47:13'
'2008-04-12 09:06:04'
'2009-05-31 05:20:14'
'2002-08-06 10:39:18'
'2000-04-04 03:39:43'
'2007-07-20 02:18:24'
'2018-09-30 11:30:28'
'1996-11-10 12:33:20'
'2003-04-30 02:05:57'
'2011-12-01 12:14:21'
'2002-12-21 01:16:55'
'2000-01-02 03:53:26'
'2017-11-12 09:10:15'
'1997-02-02 09:52:22'
'1999-08-07 01:50:34'
'2015-01-22 09:50:08'
'1998-03-04 11:52:10'
'2001-12-26 01:58:07'
'2017-12-09 07:27:15'
'2015-03-17 01:38:44'
'2011-01-05 09:38:25'
'1998-05-25 12:08:52'
'2015-12-26 05:53:17'
'2004-09-18 05:08:28'
'2004-10-17 08:07:44'
'1998-03-03 06:30:21'
'1999-04-01 08:37:54'
'2005-08-23 08:53:08'
'2014-08-30 03:09:25'
'1996-04-17 03:54:24'
'2012-07-23 02:28:02'
'2011-11-16 11:49:35'
'2014-07-15 08:28:19'
'2018-07-31 05:55:16'
'2013-01-14 08:32:04'
'2008-08-09 12:56:53'
'2017-11-18 02:44:56'
'2017-06-17 09:05:18'
'2007-11-02 10:48:20'
'2018-04-06 01:20:58'
'2015-04-20 08:32:05'
'2001-01-14 12:15:52'
'2011-10-21 02:50:53'
'2015-04-24 01:05:04'
'2018-02-15 08:47:05'
'2001-11-16 05:23:02'
'2011-05-19 06:55:49'
'2008-01-13 05:49:50'
'2004-03-17 07:22:19'
'2014-03-23 05:50:36'
'2018-12-07 12:22:58'
'2011-01-07 04:11:16'
'2004-02-05 02:16:34'
'2013-07-27 07:29:29'
'2008-12-06 12:16:32'
'1998-12-24 10:04:22'
'2017-02-13 07:55:44'
'2017-08-31 01:48:11'
'2019-08-07 04:11:41'
'1996-08-30 02:16:15'
'2014-01-23 11:45:53'
'1996-09-17 02:33:09'
'2015-01-27 02:29:30'
'2000-09-07 11:30:04'
'2018-06-13 04:12:06'
'2012-12-29 02:02:42'
'2009-01-04 12:02:09'
'2012-12-17 10:17:43'
'1997-04-14 10:10:17'
'2011-08-14 01:34:58'
'2017-12-05 11:48:48'
'2004-01-26 06:18:35'
